Run,Generation,Always Cooperate,Always Defect,Tit for Tat,Tit for Two Tats,Suspicious Tit for Tat,Generous Tit for Tat,Pavlov,Grudger,Random,Gradual Tit for Tat,Nice by Nature,Adaptive,Contrite Tit for Tat,Probing Tit for Tat
0,0,0.075000,0.075000,0.075000,0.075000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000
0,1,0.000000,0.000000,0.060000,0.090000,0.000000,0.190000,0.190000,0.010000,0.000000,0.310000,0.125000,0.000000,0.025000,0.000000
0,2,0.000000,0.000000,0.230000,0.215000,0.000000,0.080000,0.085000,0.045000,0.000000,0.000000,0.220000,0.000000,0.125000,0.000000
0,3,0.000000,0.000000,0.000000,0.090000,0.000000,0.320000,0.185000,0.205000,0.000000,0.000000,0.025000,0.000000,0.175000,0.000000
0,4,0.000000,0.000000,0.000000,0.285000,0.000000,0.010000,0.135000,0.035000,0.000000,0.000000,0.130000,0.000000,0.405000,0.000000
0,5,0.000000,0.000000,0.000000,0.145000,0.000000,0.070000,0.220000,0.180000,0.000000,0.000000,0.375000,0.000000,0.010000,0.000000
0,6,0.000000,0.000000,0.000000,0.400000,0.000000,0.275000,0.065000,0.190000,0.000000,0.000000,0.000000,0.000000,0.070000,0.000000
0,7,0.000000,0.000000,0.000000,0.005000,0.000000,0.120000,0.290000,0.385000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000
0,8,0.000000,0.000000,0.000000,0.045000,0.000000,0.465000,0.115000,0.010000,0.000000,0.000000,0.000000,0.000000,0.365000,0.000000
0,9,0.000000,0.000000,0.000000,0.225000,0.000000,0.020000,0.335000,0.040000,0.000000,0.000000,0.000000,0.000000,0.380000,0.000000
0,10,0.000000,0.000000,0.000000,0.475000,0.000000,0.120000,0.215000,0.180000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000
0,11,0.000000,0.000000,0.000000,0.035000,0.000000,0.455000,0.115000,0.345000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000
0,12,0.000000,0.000000,0.000000,0.175000,0.000000,0.025000,0.330000,0.300000,0.000000,0.000000,0.000000,0.000000,0.170000,0.000000
0,13,0.000000,0.000000,0.000000,0.255000,0.000000,0.130000,0.000000,0.055000,0.000000,0.000000,0.000000,0.000000,0.560000,0.000000
0,14,0.000000,0.000000,0.000000,0.275000,0.000000,0.455000,0.000000,0.210000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000
