Generation,mean_Always Cooperate,ci_low_Always Cooperate,ci_high_Always Cooperate,mean_Always Defect,ci_low_Always Defect,ci_high_Always Defect,mean_Tit for Tat,ci_low_Tit for Tat,ci_high_Tit for Tat,mean_Tit for Two Tats,ci_low_Tit for Two Tats,ci_high_Tit for Two Tats,mean_Suspicious Tit for Tat,ci_low_Suspicious Tit for Tat,ci_high_Suspicious Tit for Tat,mean_Generous Tit for Tat,ci_low_Generous Tit for Tat,ci_high_Generous Tit for Tat,mean_Pavlov,ci_low_Pavlov,ci_high_Pavlov,mean_Grudger,ci_low_Grudger,ci_high_Grudger,mean_Random,ci_low_Random,ci_high_Random,mean_Gradual Tit for Tat,ci_low_Gradual Tit for Tat,ci_high_Gradual Tit for Tat,mean_Nice by Nature,ci_low_Nice by Nature,ci_high_Nice by Nature,mean_Adaptive,ci_low_Adaptive,ci_high_Adaptive,mean_Contrite Tit for Tat,ci_low_Contrite Tit for Tat,ci_high_Contrite Tit for Tat,mean_Probing Tit for Tat,ci_low_Probing Tit for Tat,ci_high_Probing Tit for Tat
0,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000
1,0.077500,0.071598,0.083402,0.066900,0.062309,0.071491,0.082300,0.076385,0.088215,0.077800,0.072006,0.083594,0.065600,0.060818,0.070382,0.071900,0.067581,0.076219,0.073300,0.068711,0.077889,0.069200,0.064404,0.073996,0.064900,0.060278,0.069522,0.075300,0.070142,0.080458,0.075500,0.070458,0.080542,0.064300,0.059386,0.069214,0.070300,0.065157,0.075443,0.065200,0.059749,0.070651
2,0.074500,0.066684,0.082316,0.053600,0.047787,0.059413,0.089500,0.080738,0.098262,0.081800,0.074143,0.089457,0.059800,0.053434,0.066166,0.077200,0.071161,0.083239,0.080800,0.072998,0.088602,0.071700,0.064942,0.078458,0.060800,0.053922,0.067678,0.084900,0.076596,0.093204,0.079500,0.070841,0.088159,0.056500,0.050454,0.062546,0.071900,0.063883,0.079917,0.057500,0.051083,0.063917
3,0.071700,0.063013,0.080387,0.040900,0.034884,0.046916,0.099700,0.088989,0.110411,0.081700,0.073040,0.090360,0.053600,0.046633,0.060567,0.081300,0.072906,0.089694,0.083700,0.073905,0.093495,0.073500,0.065302,0.081698,0.056900,0.048941,0.064859,0.090500,0.080938,0.100062,0.085200,0.074102,0.096298,0.049200,0.043344,0.055056,0.077100,0.067675,0.086525,0.055000,0.046880,0.063120
4,0.067900,0.057738,0.078062,0.032500,0.026836,0.038164,0.103800,0.090268,0.117332,0.089200,0.077925,0.100475,0.044600,0.038064,0.051136,0.084200,0.074707,0.093693,0.091400,0.080469,0.102331,0.071900,0.062405,0.081395,0.054900,0.045795,0.064005,0.099300,0.087041,0.111559,0.093500,0.081739,0.105261,0.040300,0.033439,0.047161,0.072900,0.062401,0.083399,0.053600,0.045056,0.062144
5,0.064500,0.053640,0.075360,0.026100,0.019568,0.032632,0.102900,0.089332,0.116468,0.094000,0.080627,0.107373,0.041600,0.034547,0.048653,0.091500,0.080376,0.102624,0.094800,0.082663,0.106937,0.073800,0.062236,0.085364,0.047300,0.038637,0.055963,0.103800,0.090265,0.117335,0.101000,0.086221,0.115779,0.033300,0.027029,0.039571,0.077100,0.064543,0.089657,0.048300,0.037851,0.058749
6,0.063000,0.052214,0.073786,0.020400,0.014109,0.026691,0.104900,0.092040,0.117760,0.094800,0.081227,0.108373,0.037300,0.030327,0.044273,0.096500,0.084469,0.108531,0.101500,0.086333,0.116667,0.076900,0.064603,0.089197,0.043600,0.034825,0.052375,0.105600,0.090632,0.120568,0.107800,0.092120,0.123480,0.026500,0.019998,0.033002,0.074600,0.061708,0.087492,0.046600,0.035030,0.058170
7,0.064300,0.052417,0.076183,0.017400,0.010934,0.023866,0.110700,0.096613,0.124787,0.097500,0.081725,0.113275,0.033800,0.026915,0.040685,0.104500,0.090110,0.118890,0.102900,0.086154,0.119646,0.077200,0.064822,0.089578,0.035700,0.027337,0.044063,0.109600,0.093910,0.125290,0.109500,0.093594,0.125406,0.022600,0.017097,0.028103,0.072200,0.060049,0.084351,0.042100,0.030586,0.053614
8,0.064900,0.051679,0.078121,0.015100,0.008354,0.021846,0.110700,0.094674,0.126726,0.102800,0.085323,0.120277,0.033100,0.025341,0.040859,0.107500,0.092530,0.122470,0.098800,0.084762,0.112838,0.082900,0.067827,0.097973,0.033500,0.025029,0.041971,0.108500,0.093089,0.123911,0.113400,0.096127,0.130673,0.019000,0.014102,0.023898,0.071300,0.058955,0.083645,0.038500,0.027749,0.049251
9,0.073800,0.058262,0.089338,0.010300,0.005595,0.015005,0.113600,0.096281,0.130919,0.103500,0.084903,0.122097,0.031100,0.023130,0.039070,0.105700,0.090937,0.120463,0.097300,0.081945,0.112655,0.080400,0.065787,0.095013,0.028700,0.020466,0.036934,0.110300,0.094035,0.126565,0.119200,0.101599,0.136801,0.015900,0.010253,0.021547,0.071700,0.057715,0.085685,0.038500,0.027619,0.049381
10,0.078200,0.062608,0.093792,0.006900,0.003721,0.010079,0.111600,0.094949,0.128251,0.106700,0.087899,0.125501,0.024700,0.017765,0.031635,0.109000,0.092794,0.125206,0.106700,0.090670,0.122730,0.078900,0.064187,0.093613,0.025000,0.018022,0.031978,0.108700,0.092548,0.124852,0.124400,0.105129,0.143671,0.013900,0.007260,0.020540,0.071200,0.058459,0.083941,0.034100,0.023940,0.044260
11,0.077400,0.062396,0.092404,0.005800,0.002793,0.008807,0.113600,0.096725,0.130475,0.105700,0.086691,0.124709,0.022500,0.015566,0.029434,0.106700,0.090124,0.123276,0.105300,0.089470,0.121130,0.088500,0.070788,0.106212,0.023000,0.015393,0.030607,0.105800,0.089552,0.122048,0.123900,0.105144,0.142656,0.013300,0.006542,0.020058,0.076300,0.061911,0.090689,0.032200,0.021760,0.042640
12,0.077300,0.061416,0.093184,0.003600,0.001359,0.005841,0.118300,0.100808,0.135792,0.105200,0.086957,0.123443,0.019900,0.012753,0.027047,0.105400,0.087500,0.123300,0.106900,0.089754,0.124046,0.091100,0.072649,0.109551,0.021700,0.012999,0.030401,0.108000,0.090977,0.125023,0.125000,0.105644,0.144356,0.010900,0.005178,0.016622,0.075100,0.060346,0.089854,0.031600,0.020841,0.042359
