Generation,mean_Always Cooperate,ci_low_Always Cooperate,ci_high_Always Cooperate,mean_Always Defect,ci_low_Always Defect,ci_high_Always Defect,mean_Tit for Tat,ci_low_Tit for Tat,ci_high_Tit for Tat,mean_Tit for Two Tats,ci_low_Tit for Two Tats,ci_high_Tit for Two Tats,mean_Suspicious Tit for Tat,ci_low_Suspicious Tit for Tat,ci_high_Suspicious Tit for Tat,mean_Generous Tit for Tat,ci_low_Generous Tit for Tat,ci_high_Generous Tit for Tat,mean_Pavlov,ci_low_Pavlov,ci_high_Pavlov,mean_Grudger,ci_low_Grudger,ci_high_Grudger,mean_Random,ci_low_Random,ci_high_Random,mean_Gradual Tit for Tat,ci_low_Gradual Tit for Tat,ci_high_Gradual Tit for Tat,mean_Nice by Nature,ci_low_Nice by Nature,ci_high_Nice by Nature,mean_Adaptive,ci_low_Adaptive,ci_high_Adaptive,mean_Contrite Tit for Tat,ci_low_Contrite Tit for Tat,ci_high_Contrite Tit for Tat,mean_Probing Tit for Tat,ci_low_Probing Tit for Tat,ci_high_Probing Tit for Tat
0,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.075000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000
1,0.008800,0.007017,0.010583,0.000000,0.000000,0.000000,0.065700,0.059688,0.071712,0.111000,0.098575,0.123425,0.000000,0.000000,0.000000,0.160800,0.134260,0.187340,0.165700,0.149831,0.181569,0.015400,0.013326,0.017474,0.002100,0.001012,0.003188,0.301200,0.292830,0.309570,0.137200,0.125898,0.148502,0.000400,0.000020,0.000780,0.029500,0.026404,0.032596,0.002200,0.001224,0.003176
2,0.038900,0.030457,0.047343,0.000000,0.000000,0.000000,0.202800,0.189380,0.216220,0.195300,0.179724,0.210876,0.000000,0.000000,0.000000,0.094200,0.070862,0.117538,0.113300,0.095451,0.131149,0.069300,0.059764,0.078836,0.000000,0.000000,0.000000,0.005400,0.002373,0.008427,0.152600,0.135621,0.169579,0.000000,0.000000,0.000000,0.128000,0.114260,0.141740,0.000200,-0.000074,0.000474
3,0.132200,0.109499,0.154901,0.000000,0.000000,0.000000,0.044000,0.028948,0.059052,0.053400,0.031712,0.075088,0.000000,0.000000,0.000000,0.124700,0.100927,0.148473,0.154400,0.124929,0.183871,0.199700,0.178690,0.220710,0.000000,0.000000,0.000000,0.025200,0.012529,0.037871,0.117600,0.089844,0.145356,0.000000,0.000000,0.000000,0.148300,0.125076,0.171524,0.000500,-0.000480,0.001480
4,0.136800,0.103500,0.170100,0.000000,0.000000,0.000000,0.109800,0.078340,0.141260,0.099900,0.067685,0.132115,0.000000,0.000000,0.000000,0.128300,0.099093,0.157507,0.101700,0.072108,0.131292,0.089000,0.063166,0.114834,0.000000,0.000000,0.000000,0.064100,0.037436,0.090764,0.136100,0.102768,0.169432,0.000000,0.000000,0.000000,0.132600,0.099492,0.165708,0.001700,-0.001632,0.005032
5,0.121500,0.082455,0.160545,0.000000,0.000000,0.000000,0.116000,0.081561,0.150439,0.096900,0.061826,0.131974,0.000000,0.000000,0.000000,0.146500,0.110851,0.182149,0.128500,0.088800,0.168200,0.121000,0.089226,0.152774,0.000000,0.000000,0.000000,0.048400,0.024725,0.072075,0.113600,0.080232,0.146968,0.000000,0.000000,0.000000,0.099900,0.066078,0.133722,0.007700,-0.007392,0.022792
6,0.096100,0.058773,0.133427,0.000000,0.000000,0.000000,0.143900,0.097125,0.190675,0.086300,0.055948,0.116652,0.000000,0.000000,0.000000,0.146200,0.104717,0.187683,0.107800,0.069198,0.146402,0.128100,0.093543,0.162657,0.000000,0.000000,0.000000,0.052300,0.025626,0.078974,0.102800,0.067604,0.137996,0.000000,0.000000,0.000000,0.136300,0.090996,0.181604,0.000200,-0.000192,0.000592
7,0.083400,0.051930,0.114870,0.000000,0.000000,0.000000,0.095300,0.061491,0.129109,0.092500,0.058692,0.126308,0.000000,0.000000,0.000000,0.113500,0.071565,0.155435,0.127300,0.086095,0.168505,0.131300,0.090731,0.171869,0.000000,0.000000,0.000000,0.069900,0.030044,0.109756,0.151500,0.105741,0.197259,0.000000,0.000000,0.000000,0.134500,0.089686,0.179314,0.000800,-0.000768,0.002368
8,0.102200,0.060309,0.144091,0.000000,0.000000,0.000000,0.131600,0.084657,0.178543,0.127800,0.082287,0.173313,0.000000,0.000000,0.000000,0.091000,0.054696,0.127304,0.106500,0.065983,0.147017,0.158000,0.110813,0.205187,0.000000,0.000000,0.000000,0.020800,0.004102,0.037498,0.122100,0.081634,0.162566,0.000000,0.000000,0.000000,0.136400,0.095771,0.177029,0.003600,-0.003456,0.010656
9,0.119100,0.074195,0.164005,0.000000,0.000000,0.000000,0.105200,0.066827,0.143573,0.087500,0.045013,0.129987,0.000000,0.000000,0.000000,0.167700,0.119131,0.216269,0.091900,0.060709,0.123091,0.102700,0.061708,0.143692,0.000000,0.000000,0.000000,0.039600,0.011567,0.067633,0.123100,0.075912,0.170288,0.000000,0.000000,0.000000,0.162500,0.106253,0.218747,0.000700,-0.000672,0.002072
