Strategy,Always Cooperate,Always Defect,Tit for Tat,Tit for Two Tats,Suspicious Tit for Tat,Generous Tit for Tat,Pavlov,Grudger,Random,Gradual Tit for Tat,Nice by Nature,Adaptive,Contrite Tit for Tat,Probing Tit for Tat
Always Cooperate,1200.00,0.00,1200.00,1200.00,1194.00,1200.00,1200.00,1200.00,564.00,1200.00,1200.00,18.00,1200.00,1092.00
Always Defect,2000.00,400.00,408.00,416.00,400.00,868.00,1200.00,408.00,1176.00,680.00,408.00,424.00,1464.00,408.00
Tit for Tat,1200.00,398.00,1200.00,1200.00,1000.00,1200.00,1200.00,1200.00,900.00,1200.00,1200.00,440.00,1200.00,1020.00
Tit for Two Tats,1200.00,396.00,1200.00,1200.00,1194.00,1200.00,1200.00,1200.00,719.00,1200.00,1200.00,428.00,1200.00,1092.00
Suspicious Tit for Tat,1204.00,400.00,1000.00,1204.00,400.00,1197.00,802.00,406.00,909.00,1202.00,1200.00,432.00,1000.00,430.00
Generous Tit for Tat,1200.00,283.00,1200.00,1200.00,1187.00,1200.00,1200.00,1200.00,823.00,1200.00,1200.00,1179.00,1200.00,1045.00
Pavlov,1200.00,200.00,1200.00,1200.00,802.00,1200.00,1200.00,1200.00,952.00,1200.00,1200.00,1180.00,1200.00,786.00
Grudger,1200.00,398.00,1200.00,1200.00,406.00,1200.00,1200.00,1200.00,1132.00,1200.00,1200.00,458.00,1200.00,486.00
Random,1624.00,206.00,910.00,1249.00,904.00,1138.00,887.00,227.00,902.00,541.00,1317.00,242.00,1197.00,816.00
Gradual Tit for Tat,1200.00,330.00,1200.00,1200.00,1192.00,1200.00,1200.00,1200.00,1061.00,1200.00,1200.00,1170.00,1200.00,784.00
Nice by Nature,1200.00,398.00,1200.00,1200.00,1190.00,1200.00,1200.00,1200.00,717.00,1200.00,1200.00,450.00,1200.00,1092.00
Adaptive,1988.00,394.00,450.00,498.00,432.00,1189.00,1200.00,408.00,1152.00,1200.00,440.00,1188.00,1460.00,450.00
Contrite Tit for Tat,1200.00,134.00,1200.00,1200.00,1000.00,1200.00,1200.00,1200.00,782.00,1200.00,1200.00,150.00,1200.00,1020.00
Probing Tit for Tat,1272.00,398.00,1020.00,1272.00,430.00,1200.00,876.00,486.00,906.00,914.00,1272.00,440.00,1020.00,480.00
